"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"1",1606,"KENILWORTH. by Sir Walter Scott, Bart.","Kenilworth","Scott, Walter","Historical Fiction","en"
"2",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"3",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"4",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"5",1606,"Contents","Kenilworth","Scott, Walter","Historical Fiction","en"
"6",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"7",1606," INTRODUCTION","Kenilworth","Scott, Walter","Historical Fiction","en"
"8",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"9",1606,"KENILWORTH","Kenilworth","Scott, Walter","Historical Fiction","en"
"10",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"11",1606,"CHAPTER I.","Kenilworth","Scott, Walter","Historical Fiction","en"
"12",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"13",1606,"CHAPTER II.","Kenilworth","Scott, Walter","Historical Fiction","en"
"14",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"15",1606,"CHAPTER III.","Kenilworth","Scott, Walter","Historical Fiction","en"
"16",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"17",1606,"CHAPTER IV.","Kenilworth","Scott, Walter","Historical Fiction","en"
"18",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"19",1606,"CHAPTER V.","Kenilworth","Scott, Walter","Historical Fiction","en"
"20",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"21",1606,"CHAPTER VI.","Kenilworth","Scott, Walter","Historical Fiction","en"
"22",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"23",1606,"CHAPTER VII.","Kenilworth","Scott, Walter","Historical Fiction","en"
"24",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"25",1606,"CHAPTER VIII.","Kenilworth","Scott, Walter","Historical Fiction","en"
"26",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"27",1606,"CHAPTER IX.","Kenilworth","Scott, Walter","Historical Fiction","en"
"28",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"29",1606,"CHAPTER X.","Kenilworth","Scott, Walter","Historical Fiction","en"
"30",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"31",1606,"CHAPTER XI.","Kenilworth","Scott, Walter","Historical Fiction","en"
"32",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"33",1606,"CHAPTER XII.","Kenilworth","Scott, Walter","Historical Fiction","en"
"34",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"35",1606,"CHAPTER XIII.","Kenilworth","Scott, Walter","Historical Fiction","en"
"36",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"37",1606,"CHAPTER XIV.","Kenilworth","Scott, Walter","Historical Fiction","en"
"38",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"39",1606,"CHAPTER XV.","Kenilworth","Scott, Walter","Historical Fiction","en"
"40",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"41",1606,"CHAPTER XVI.","Kenilworth","Scott, Walter","Historical Fiction","en"
"42",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"43",1606,"CHAPTER XVII.","Kenilworth","Scott, Walter","Historical Fiction","en"
"44",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"45",1606,"CHAPTER XVIII.","Kenilworth","Scott, Walter","Historical Fiction","en"
"46",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"47",1606,"CHAPTER XIX.","Kenilworth","Scott, Walter","Historical Fiction","en"
"48",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
"49",1606,"CHAPTER XX.","Kenilworth","Scott, Walter","Historical Fiction","en"
"50",1606,"","Kenilworth","Scott, Walter","Historical Fiction","en"
